review_id,sku,rating,comment,date
REV-528,SKU-1060,5,"Exceeded my expectations, love it.",2026-08-03
REV-566,SKU-1047,5,Arrived fast and packaged well.,2026-08-03
REV-550,SKU-1019,5,"Exceeded my expectations, love it.",2026-08-04
REV-510,SKU-1049,3,"Pretty, but instructions could be clearer.",2026-08-05
REV-515,SKU-1068,4,"Sturdy and well made, would buy again.",2026-08-05
REV-514,SKU-1076,3,"Good quality, took a bit longer to arrive than expected.",2026-08-06
REV-532,SKU-1098,4,"Sturdy and well made, would buy again.",2026-08-06
REV-577,SKU-1120,5,"Great quality for the price, very happy.",2026-08-07
REV-541,SKU-1024,3,Smaller than expected for the price.,2026-08-08
REV-585,SKU-1086,3,"Does the job, nothing special.",2026-08-08
REV-603,SKU-1059,5,Looks even better in person.,2026-08-08
REV-534,SKU-1121,4,Perfect addition to my living room.,2026-08-09
REV-592,SKU-1039,4,"Exceeded my expectations, love it.",2026-08-09
REV-529,SKU-1060,5,Looks even better in person.,2026-08-11
REV-542,SKU-1054,5,Perfect addition to my living room.,2026-08-12
REV-605,SKU-1150,5,Perfect addition to my living room.,2026-08-12
REV-558,SKU-1041,5,"Exceeded my expectations, love it.",2026-08-13
REV-594,SKU-1139,1,"Arrived with minor damage, disappointed.",2026-08-13
REV-561,SKU-1033,1,Customer service was slow to respond about my order.,2026-08-14
REV-571,SKU-1014,5,Arrived fast and packaged well.,2026-08-15
REV-591,SKU-1039,5,"Beautiful piece, exactly as pictured!",2026-08-15
REV-596,SKU-1044,4,Arrived fast and packaged well.,2026-08-15
REV-518,SKU-1046,5,Perfect addition to my living room.,2026-08-16
REV-533,SKU-1013,3,Nice item but color slightly different than photo.,2026-08-16
REV-597,SKU-1117,5,Perfect addition to my living room.,2026-08-16
REV-582,SKU-1056,4,"Beautiful piece, exactly as pictured!",2026-08-17
REV-520,SKU-1095,5,Arrived fast and packaged well.,2026-08-18
REV-572,SKU-1136,4,Looks even better in person.,2026-08-18
