date,sku,units_sold,revenue_usd
2026-08-03,SKU-1009,2,28.5
2026-08-03,SKU-1015,4,198.76
2026-08-03,SKU-1020,7,536.55
2026-08-03,SKU-1020,6,459.9
2026-08-03,SKU-1023,5,212.45
2026-08-03,SKU-1027,7,168.7
2026-08-03,SKU-1027,4,96.4
2026-08-03,SKU-1030,3,130.62
2026-08-03,SKU-1032,3,106.77
2026-08-03,SKU-1034,3,135.93
2026-08-03,SKU-1036,3,327.93
2026-08-03,SKU-1039,4,135.96
2026-08-03,SKU-1041,3,113.82
2026-08-03,SKU-1046,4,282.56
2026-08-03,SKU-1051,4,122.36
2026-08-03,SKU-1055,5,178.65
2026-08-03,SKU-1059,3,31.53
2026-08-03,SKU-1067,3,111.45
2026-08-03,SKU-1068,5,328.7
2026-08-03,SKU-1069,3,65.22
2026-08-03,SKU-1071,4,159.08
2026-08-03,SKU-1076,2,171.36
2026-08-03,SKU-1091,2,64.9
2026-08-03,SKU-1092,1,23.7
2026-08-03,SKU-1099,2,23.56
2026-08-03,SKU-1115,5,172.65
2026-08-03,SKU-1119,4,84.04
2026-08-03,SKU-1126,5,593.95
2026-08-03,SKU-1139,2,60.22
2026-08-03,SKU-1139,6,180.66
2026-08-03,SKU-1141,7,369.25
2026-08-04,SKU-1001,7,244.93
2026-08-04,SKU-1002,8,180.0
2026-08-04,SKU-1017,4,114.32
2026-08-04,SKU-1020,5,383.25
2026-08-04,SKU-1021,2,62.56
2026-08-04,SKU-1024,5,112.75
2026-08-04,SKU-1030,6,261.24
2026-08-04,SKU-1030,8,348.32
2026-08-04,SKU-1035,5,267.45
2026-08-04,SKU-1035,3,160.47
2026-08-04,SKU-1041,4,151.76
2026-08-04,SKU-1042,4,178.12
2026-08-04,SKU-1044,5,76.35
2026-08-04,SKU-1048,2,166.82
2026-08-04,SKU-1049,2,55.38
2026-08-04,SKU-1054,2,60.56
2026-08-04,SKU-1060,5,348.7
2026-08-04,SKU-1065,5,148.0
2026-08-04,SKU-1067,5,185.75
2026-08-04,SKU-1070,7,298.13
2026-08-04,SKU-1072,4,141.84
2026-08-04,SKU-1087,2,78.82
2026-08-04,SKU-1089,4,90.08
2026-08-04,SKU-1092,5,118.5
2026-08-04,SKU-1107,2,84.4
2026-08-04,SKU-1109,1,19.61
2026-08-04,SKU-1110,1,53.88
2026-08-04,SKU-1113,5,374.0
2026-08-04,SKU-1114,8,352.24
2026-08-04,SKU-1116,3,187.89
2026-08-04,SKU-1124,2,63.28
2026-08-04,SKU-1125,3,142.26
2026-08-04,SKU-1133,4,347.36
2026-08-04,SKU-1133,4,347.36
2026-08-04,SKU-1134,1,17.73
2026-08-04,SKU-1135,5,310.6
2026-08-04,SKU-1141,6,316.5
2026-08-04,SKU-1141,4,211.0
2026-08-05,SKU-1003,1,58.0
2026-08-05,SKU-1005,4,111.0
2026-08-05,SKU-1007,3,93.6
2026-08-05,SKU-1007,3,93.6
2026-08-05,SKU-1009,3,42.75
2026-08-05,SKU-1011,1,41.66
2026-08-05,SKU-1012,3,66.99
2026-08-05,SKU-1014,2,26.14
2026-08-05,SKU-1016,3,280.92
2026-08-05,SKU-1017,4,114.32
2026-08-05,SKU-1023,4,169.96
2026-08-05,SKU-1024,8,180.4
2026-08-05,SKU-1030,3,130.62
2026-08-05,SKU-1036,5,546.55
2026-08-05,SKU-1038,3,141.93
2026-08-05,SKU-1039,2,67.98
2026-08-05,SKU-1045,3,87.09
2026-08-05,SKU-1053,4,203.2
2026-08-05,SKU-1063,4,374.72
2026-08-05,SKU-1068,2,131.48
2026-08-05,SKU-1070,4,170.36
2026-08-05,SKU-1089,1,22.52
2026-08-05,SKU-1093,1,94.73
2026-08-05,SKU-1095,1,66.56
2026-08-05,SKU-1112,1,36.71
2026-08-05,SKU-1112,3,110.13
2026-08-05,SKU-1114,2,88.06
2026-08-05,SKU-1119,2,42.02
2026-08-05,SKU-1129,6,176.94
2026-08-05,SKU-1129,7,206.43
2026-08-05,SKU-1148,5,371.8
2026-08-05,SKU-1149,3,87.87
2026-08-06,SKU-1001,2,69.98
2026-08-06,SKU-1002,3,67.5
2026-08-06,SKU-1013,7,529.2
2026-08-06,SKU-1013,8,604.8
2026-08-06,SKU-1014,4,52.28
2026-08-06,SKU-1024,5,112.75
2026-08-06,SKU-1024,5,112.75
2026-08-06,SKU-1027,7,168.7
2026-08-06,SKU-1042,6,267.18
2026-08-06,SKU-1042,8,356.24
2026-08-06,SKU-1042,8,356.24
2026-08-06,SKU-1044,5,76.35
2026-08-06,SKU-1044,3,45.81
2026-08-06,SKU-1047,7,228.76
2026-08-06,SKU-1060,2,139.48
2026-08-06,SKU-1062,4,67.64
2026-08-06,SKU-1088,5,383.4
2026-08-06,SKU-1094,4,118.08
2026-08-06,SKU-1096,4,136.64
2026-08-06,SKU-1096,2,68.32
2026-08-06,SKU-1096,4,136.64
2026-08-06,SKU-1096,4,136.64
2026-08-06,SKU-1099,5,58.9
2026-08-06,SKU-1103,3,206.73
2026-08-06,SKU-1104,1,19.35
2026-08-06,SKU-1105,2,68.44
2026-08-06,SKU-1107,5,211.0
2026-08-06,SKU-1112,3,110.13
2026-08-06,SKU-1114,2,88.06
2026-08-06,SKU-1117,1,23.39
2026-08-06,SKU-1117,1,23.39
2026-08-06,SKU-1121,2,55.38
2026-08-06,SKU-1128,1,78.63
2026-08-06,SKU-1129,2,58.98
2026-08-06,SKU-1136,1,48.16
2026-08-06,SKU-1138,4,192.2
2026-08-06,SKU-1142,4,91.52
2026-08-06,SKU-1142,1,22.88
2026-08-06,SKU-1144,4,97.76
2026-08-06,SKU-1147,5,179.25
2026-08-07,SKU-1008,4,258.0
2026-08-07,SKU-1010,2,84.0
2026-08-07,SKU-1013,4,302.4
2026-08-07,SKU-1013,8,604.8
2026-08-07,SKU-1020,4,306.6
2026-08-07,SKU-1020,3,229.95
2026-08-07,SKU-1033,2,89.6
2026-08-07,SKU-1036,3,327.93
2026-08-07,SKU-1039,4,135.96
2026-08-07,SKU-1042,2,89.06
2026-08-07,SKU-1046,3,211.92
2026-08-07,SKU-1047,4,130.72
2026-08-07,SKU-1047,8,261.44
2026-08-07,SKU-1047,6,196.08
2026-08-07,SKU-1047,4,130.72
2026-08-07,SKU-1048,4,333.64
2026-08-07,SKU-1056,1,48.09
2026-08-07,SKU-1072,5,177.3
2026-08-07,SKU-1090,3,81.66
2026-08-07,SKU-1096,4,136.64
2026-08-07,SKU-1099,5,58.9
2026-08-07,SKU-1100,1,36.94
2026-08-07,SKU-1101,2,78.16
2026-08-07,SKU-1102,1,35.06
2026-08-07,SKU-1109,1,19.61
2026-08-07,SKU-1113,1,74.8
2026-08-07,SKU-1122,3,113.97
2026-08-07,SKU-1129,5,147.45
2026-08-07,SKU-1135,2,124.24
2026-08-07,SKU-1139,5,150.55
2026-08-07,SKU-1139,6,180.66
2026-08-08,SKU-1002,5,112.5
2026-08-08,SKU-1006,3,267.0
2026-08-08,SKU-1007,4,124.8
2026-08-08,SKU-1008,3,193.5
2026-08-08,SKU-1008,8,516.0
2026-08-08,SKU-1014,2,26.14
2026-08-08,SKU-1018,2,60.72
2026-08-08,SKU-1018,1,30.36
2026-08-08,SKU-1018,1,30.36
2026-08-08,SKU-1023,1,42.49
2026-08-08,SKU-1029,2,53.06
2026-08-08,SKU-1038,7,331.17
2026-08-08,SKU-1038,2,94.62
2026-08-08,SKU-1039,4,135.96
2026-08-08,SKU-1042,7,311.71
2026-08-08,SKU-1043,1,94.84
2026-08-08,SKU-1048,3,250.23
2026-08-08,SKU-1063,3,281.04
2026-08-08,SKU-1063,4,374.72
2026-08-08,SKU-1068,4,262.96
2026-08-08,SKU-1070,5,212.95
2026-08-08,SKU-1072,5,177.3
2026-08-08,SKU-1073,1,36.88
2026-08-08,SKU-1073,2,73.76
2026-08-08,SKU-1075,2,93.6
2026-08-08,SKU-1086,1,37.89
2026-08-08,SKU-1088,2,153.36
2026-08-08,SKU-1088,4,306.72
2026-08-08,SKU-1090,5,136.1
2026-08-08,SKU-1092,1,23.7
2026-08-08,SKU-1099,4,47.12
2026-08-08,SKU-1103,3,206.73
2026-08-08,SKU-1114,8,352.24
2026-08-08,SKU-1114,2,88.06
2026-08-08,SKU-1124,5,158.2
2026-08-08,SKU-1129,7,206.43
2026-08-08,SKU-1130,3,233.07
2026-08-08,SKU-1132,1,25.29
2026-08-08,SKU-1138,4,192.2
2026-08-08,SKU-1141,7,369.25
2026-08-08,SKU-1144,1,24.44
2026-08-09,SKU-1004,2,39.98
2026-08-09,SKU-1017,3,85.74
2026-08-09,SKU-1021,5,156.4
2026-08-09,SKU-1027,6,144.6
2026-08-09,SKU-1035,4,213.96
2026-08-09,SKU-1036,5,546.55
2026-08-09,SKU-1038,2,94.62
2026-08-09,SKU-1038,6,283.86
2026-08-09,SKU-1049,5,138.45
2026-08-09,SKU-1058,4,322.08
2026-08-09,SKU-1062,3,50.73
2026-08-09,SKU-1067,4,148.6
2026-08-09,SKU-1069,4,86.96
2026-08-09,SKU-1071,4,159.08
2026-08-09,SKU-1078,3,105.99
2026-08-09,SKU-1079,1,20.69
2026-08-09,SKU-1089,2,45.04
2026-08-09,SKU-1093,3,284.19
2026-08-09,SKU-1096,3,102.48
2026-08-09,SKU-1098,3,248.52
2026-08-09,SKU-1103,2,137.82
2026-08-09,SKU-1108,2,169.82
2026-08-09,SKU-1111,3,163.59
2026-08-09,SKU-1118,2,159.9
2026-08-09,SKU-1124,6,189.84
2026-08-09,SKU-1126,5,593.95
2026-08-09,SKU-1129,6,176.94
2026-08-09,SKU-1131,3,99.75
2026-08-09,SKU-1133,8,694.72
2026-08-09,SKU-1137,5,194.9
2026-08-09,SKU-1141,8,422.0
2026-08-10,SKU-1003,3,174.0
2026-08-10,SKU-1008,8,516.0
2026-08-10,SKU-1008,6,387.0
2026-08-10,SKU-1008,4,258.0
2026-08-10,SKU-1009,2,28.5
2026-08-10,SKU-1014,3,39.21
2026-08-10,SKU-1017,2,57.16
2026-08-10,SKU-1018,5,151.8
2026-08-10,SKU-1021,5,156.4
2026-08-10,SKU-1025,1,61.64
2026-08-10,SKU-1027,4,96.4
2026-08-10,SKU-1051,1,30.59
2026-08-10,SKU-1058,1,80.52
2026-08-10,SKU-1064,1,16.62
2026-08-10,SKU-1065,3,88.8
2026-08-10,SKU-1068,1,65.74
2026-08-10,SKU-1070,5,212.95
2026-08-10,SKU-1074,2,41.14
2026-08-10,SKU-1075,2,93.6
2026-08-10,SKU-1088,1,76.68
2026-08-10,SKU-1090,5,136.1
